工号,异动日期,异动类型,异动前部门,异动后部门,异动前岗位,异动后岗位,备注
EMP0001,2022-06-14,入职,,董事会办公室,,董事长助理,新员工入职，本科学历
EMP0001,2022-10-24,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0001,2025-04-22,调岗,董事会办公室,董事会办公室,董事长助理,董事长助理,内部调岗调整
EMP0001,2027-01-21,晋升,董事会办公室,董事会办公室,董事长助理,董事长助理,职级晋升
EMP0002,2020-10-07,入职,,业财一体化部,,财务BA,新员工入职，硕士学历
EMP0002,2021-02-13,转正,业财一体化部,业财一体化部,财务BA,财务BA,试用期通过，正式转正
EMP0003,2024-05-27,入职,,运营管理部,,运营专员,新员工入职，本科学历
EMP0003,2024-11-12,转正,运营管理部,运营管理部,运营专员,运营专员,试用期通过，正式转正
EMP0004,2021-07-06,入职,,公共事务部,,公共事务总监,新员工入职，大专学历
EMP0004,2021-10-19,转正,公共事务部,公共事务部,公共事务总监,公共事务总监,试用期通过，正式转正
EMP0005,2025-04-16,入职,,董事会办公室,,董事长助理,新员工入职，大专学历
EMP0005,2025-08-27,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0006,2024-04-17,入职,,财税管理部,,税务经理,新员工入职，博士学历
EMP0006,2024-09-13,转正,财税管理部,财税管理部,税务经理,税务经理,试用期通过，正式转正
EMP0007,2024-07-26,入职,,董事会办公室,,董事会事务专员,新员工入职，硕士学历
EMP0007,2024-12-23,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0008,2023-06-10,入职,,业财一体化部,,业财经理,新员工入职，硕士学历
EMP0008,2023-10-14,转正,业财一体化部,业财一体化部,业财经理,业财经理,试用期通过，正式转正
EMP0009,2025-05-07,入职,,数字化营销部,,数字营销经理,新员工入职，硕士学历
EMP0009,2025-09-27,转正,数字化营销部,数字化营销部,数字营销经理,数字营销经理,试用期通过，正式转正
EMP0010,2025-04-08,入职,,专家智库部,,首席专家,新员工入职，本科学历
EMP0010,2025-09-15,转正,专家智库部,专家智库部,首席专家,首席专家,试用期通过，正式转正
EMP0011,2025-01-03,入职,,集团总行部,,数据研究,新员工入职，大专学历
EMP0011,2025-02-03,离职,集团总行部,,数据研究,,离职原因：职业发展
EMP0011,2025-04-09,转正,集团总行部,集团总行部,数据研究,数据研究,试用期通过，正式转正
EMP0012,2019-01-12,入职,,运营管理部,,运营主管,新员工入职，本科学历
EMP0012,2019-07-05,转正,运营管理部,运营管理部,运营主管,运营主管,试用期通过，正式转正
EMP0013,2025-01-04,入职,,运营管理部,,运营数据分析,新员工入职，大专学历
EMP0013,2025-05-22,转正,运营管理部,运营管理部,运营数据分析,运营数据分析,试用期通过，正式转正
EMP0014,2025-12-10,入职,,财税管理部,,总账会计,新员工入职，本科学历
EMP0014,2026-03-10,转正,财税管理部,财税管理部,总账会计,总账会计,试用期通过，正式转正
EMP0015,2019-06-03,入职,,运营管理部,,供应链运营,新员工入职，本科学历
EMP0015,2019-09-10,转正,运营管理部,运营管理部,供应链运营,供应链运营,试用期通过，正式转正
EMP0016,2021-10-27,入职,,董事会办公室,,董事会事务专员,新员工入职，本科学历
EMP0016,2022-02-17,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0017,2018-05-18,入职,,数字化营销部,,营销总监,新员工入职，硕士学历
EMP0017,2018-08-27,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0017,2021-02-04,调岗,数字化营销部,数字化营销部,营销总监,营销总监,内部调岗调整
EMP0018,2023-12-06,入职,,董事会办公室,,董事长助理,新员工入职，本科学历
EMP0018,2024-05-18,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0019,2025-05-09,入职,,董事会办公室,,董事会事务专员,新员工入职，大专学历
EMP0019,2025-09-25,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0020,2025-10-08,入职,,预算管理部,,预算经理,新员工入职，硕士学历
EMP0020,2026-01-19,转正,预算管理部,预算管理部,预算经理,预算经理,试用期通过，正式转正
EMP0021,2022-06-26,入职,,业财一体化部,,业财经理,新员工入职，博士学历
EMP0021,2022-11-14,转正,业财一体化部,业财一体化部,业财经理,业财经理,试用期通过，正式转正
EMP0022,2024-09-17,入职,,预算管理部,,预算主管,新员工入职，本科学历
EMP0022,2025-01-18,转正,预算管理部,预算管理部,预算主管,预算主管,试用期通过，正式转正
EMP0022,2026-05-15,调岗,预算管理部,预算管理部,预算主管,预算主管,内部调岗调整
EMP0023,2024-09-24,入职,,数字化营销部,,品牌推广,新员工入职，本科学历
EMP0023,2025-02-17,转正,数字化营销部,数字化营销部,品牌推广,品牌推广,试用期通过，正式转正
EMP0024,2023-10-24,入职,,财税管理部,,税务经理,新员工入职，硕士学历
EMP0024,2024-02-10,转正,财税管理部,财税管理部,税务经理,税务经理,试用期通过，正式转正
EMP0024,2025-11-15,调岗,财税管理部,财税管理部,税务经理,税务经理,内部调岗调整
EMP0025,2020-01-12,入职,,公共事务部,,品牌公关,新员工入职，本科学历
EMP0025,2020-06-11,转正,公共事务部,公共事务部,品牌公关,品牌公关,试用期通过，正式转正
EMP0026,2020-09-02,入职,,业财一体化部,,系统实施,新员工入职，硕士学历
EMP0026,2020-12-18,转正,业财一体化部,业财一体化部,系统实施,系统实施,试用期通过，正式转正
EMP0027,2021-07-15,入职,,专家智库部,,高级顾问,新员工入职，硕士学历
EMP0027,2021-11-20,转正,专家智库部,专家智库部,高级顾问,高级顾问,试用期通过，正式转正
EMP0027,2025-09-03,晋升,专家智库部,专家智库部,高级顾问,高级顾问,职级晋升
EMP0028,2019-12-20,入职,,专家智库部,,知识管理,新员工入职，本科学历
EMP0028,2020-05-15,转正,专家智库部,专家智库部,知识管理,知识管理,试用期通过，正式转正
EMP0028,2021-12-02,调岗,专家智库部,专家智库部,知识管理,知识管理,内部调岗调整
EMP0028,2024-08-29,晋升,专家智库部,专家智库部,知识管理,知识管理,职级晋升
EMP0029,2023-06-02,入职,,董事会办公室,,董事长助理,新员工入职，博士学历
EMP0029,2023-09-24,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0030,2023-05-25,入职,,数字化营销部,,内容运营,新员工入职，本科学历
EMP0030,2023-09-12,转正,数字化营销部,数字化营销部,内容运营,内容运营,试用期通过，正式转正
EMP0031,2020-06-07,入职,,董事会办公室,,董事会事务专员,新员工入职，大专学历
EMP0031,2020-11-18,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0032,2022-04-22,入职,,预算管理部,,资金管理,新员工入职，本科学历
EMP0032,2022-10-01,转正,预算管理部,预算管理部,资金管理,资金管理,试用期通过，正式转正
EMP0032,2025-12-28,晋升,预算管理部,预算管理部,资金管理,资金管理,职级晋升
EMP0033,2023-06-10,入职,,业财一体化部,,流程优化,新员工入职，本科学历
EMP0033,2023-09-15,转正,业财一体化部,业财一体化部,流程优化,流程优化,试用期通过，正式转正
EMP0033,2026-05-29,调岗,业财一体化部,业财一体化部,流程优化,流程优化,内部调岗调整
EMP0034,2024-04-20,入职,,数字化营销部,,内容运营,新员工入职，大专学历
EMP0034,2024-10-02,转正,数字化营销部,数字化营销部,内容运营,内容运营,试用期通过，正式转正
EMP0035,2024-01-24,入职,,业财一体化部,,业财经理,新员工入职，本科学历
EMP0035,2024-05-07,转正,业财一体化部,业财一体化部,业财经理,业财经理,试用期通过，正式转正
EMP0036,2023-01-01,入职,,专家智库部,,咨询顾问,新员工入职，本科学历
EMP0036,2023-05-07,转正,专家智库部,专家智库部,咨询顾问,咨询顾问,试用期通过，正式转正
EMP0037,2022-03-03,入职,,财税管理部,,财税总监,新员工入职，硕士学历
EMP0037,2022-06-12,转正,财税管理部,财税管理部,财税总监,财税总监,试用期通过，正式转正
EMP0038,2018-10-25,入职,,公共事务部,,政府关系,新员工入职，本科学历
EMP0038,2019-02-05,转正,公共事务部,公共事务部,政府关系,政府关系,试用期通过，正式转正
EMP0039,2022-02-07,入职,,数字化营销部,,营销总监,新员工入职，大专学历
EMP0039,2022-07-11,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0039,2025-11-05,晋升,数字化营销部,数字化营销部,营销总监,营销总监,职级晋升
EMP0040,2019-07-10,入职,,业财一体化部,,财务BA,新员工入职，本科学历
EMP0040,2019-12-16,转正,业财一体化部,业财一体化部,财务BA,财务BA,试用期通过，正式转正
EMP0041,2020-11-19,入职,,运营管理部,,运营数据分析,新员工入职，本科学历
EMP0041,2021-04-15,转正,运营管理部,运营管理部,运营数据分析,运营数据分析,试用期通过，正式转正
EMP0042,2023-04-02,入职,,数字化营销部,,内容运营,新员工入职，硕士学历
EMP0042,2023-09-23,转正,数字化营销部,数字化营销部,内容运营,内容运营,试用期通过，正式转正
EMP0042,2024-07-14,调岗,数字化营销部,数字化营销部,内容运营,内容运营,内部调岗调整
EMP0043,2021-01-19,入职,,专家智库部,,首席专家,新员工入职，大专学历
EMP0043,2021-07-02,转正,专家智库部,专家智库部,首席专家,首席专家,试用期通过，正式转正
EMP0043,2023-09-11,晋升,专家智库部,专家智库部,首席专家,首席专家,职级晋升
EMP0043,2023-11-20,调岗,专家智库部,专家智库部,首席专家,首席专家,内部调岗调整
EMP0044,2020-06-26,入职,,董事会办公室,,董事长助理,新员工入职，本科学历
EMP0044,2020-11-28,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0044,2023-02-13,调岗,董事会办公室,董事会办公室,董事长助理,董事长助理,内部调岗调整
EMP0044,2023-03-06,晋升,董事会办公室,董事会办公室,董事长助理,董事长助理,职级晋升
EMP0045,2022-06-03,入职,,业财一体化部,,流程优化,新员工入职，博士学历
EMP0045,2022-09-10,转正,业财一体化部,业财一体化部,流程优化,流程优化,试用期通过，正式转正
EMP0046,2019-06-25,入职,,数字化营销部,,数字营销经理,新员工入职，硕士学历
EMP0046,2019-09-26,转正,数字化营销部,数字化营销部,数字营销经理,数字营销经理,试用期通过，正式转正
EMP0046,2021-03-22,调岗,数字化营销部,数字化营销部,数字营销经理,数字营销经理,内部调岗调整
EMP0047,2020-11-15,入职,,预算管理部,,预算专员,新员工入职，大专学历
EMP0047,2021-03-20,转正,预算管理部,预算管理部,预算专员,预算专员,试用期通过，正式转正
EMP0047,2023-11-05,晋升,预算管理部,预算管理部,预算专员,预算专员,职级晋升
EMP0048,2024-06-25,入职,,预算管理部,,预算专员,新员工入职，大专学历
EMP0048,2024-12-22,转正,预算管理部,预算管理部,预算专员,预算专员,试用期通过，正式转正
EMP0049,2022-11-25,入职,,董事会办公室,,董事会事务专员,新员工入职，硕士学历
EMP0049,2023-05-15,转正,董事会办公室,董事会办公室,董事会事务专员,董事会事务专员,试用期通过，正式转正
EMP0050,2018-04-19,入职,,董事会办公室,,董事长助理,新员工入职，本科学历
EMP0050,2018-08-20,转正,董事会办公室,董事会办公室,董事长助理,董事长助理,试用期通过，正式转正
EMP0051,2025-07-19,入职,,数字化营销部,,营销总监,新员工入职，本科学历
EMP0051,2026-01-07,转正,数字化营销部,数字化营销部,营销总监,营销总监,试用期通过，正式转正
EMP0051,2027-09-06,调岗,数字化营销部,数字化营销部,营销总监,营销总监,内部调岗调整
EMP0052,2024-04-25,入职,,公共事务部,,活动策划,新员工入职，硕士学历
EMP0052,2024-08-11,转正,公共事务部,公共事务部,活动策划,活动策划,试用期通过，正式转正
EMP0052,2029-02-02,晋升,公共事务部,公共事务部,活动策划,活动策划,职级晋升
EMP0053,2022-11-16,入职,,运营管理部,,客户运营,新员工入职，本科学历
EMP0053,2023-03-22,转正,运营管理部,运营管理部,客户运营,客户运营,试用期通过，正式转正
EMP0053,2024-01-16,离职,运营管理部,,客户运营,,离职原因：职业发展
EMP0054,2019-07-12,入职,,专家智库部,,高级顾问,新员工入职，本科学历
EMP0054,2019-10-27,转正,专家智库部,专家智库部,高级顾问,高级顾问,试用期通过，正式转正
EMP0055,2020-01-03,入职,,财税管理部,,税务经理,新员工入职，本科学历
EMP0055,2020-06-05,转正,财税管理部,财税管理部,税务经理,税务经理,试用期通过，正式转正
EMP0056,2021-04-19,入职,,预算管理部,,预算专员,新员工入职，本科学历
EMP0056,2021-07-22,转正,预算管理部,预算管理部,预算专员,预算专员,试用期通过，正式转正
EMP0056,2025-06-23,晋升,预算管理部,预算管理部,预算专员,预算专员,职级晋升
EMP0057,2021-09-28,入职,,公共事务部,,政府关系,新员工入职，大专学历
